xbrl_name,formatted_name
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_SGDMember,"Bank Syariah Indonesia Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_SGDMember,"Bank Syariah Indonesia Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_THBMember,"Bank Syariah Indonesia Tbk - THB - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_THBMember,"Bank Syariah Indonesia Tbk - THB - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_USDMember,"Bank Syariah Indonesia Tbk - USD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_USDMember,"Bank Syariah Indonesia Tbk - USD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_OtherCurrencyMember,"Bank Syariah Indonesia Tbk - Mata uang lainnya - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_OtherCurrencyMember,"Bank Syariah Indonesia Tbk - Mata uang lainnya - Jumlah utang bank, kotor"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember,"Bank Syariah Indonesia Tbk - Total - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_IDRMember,"Bank Negara Indonesia (Persero) Tbk - IDR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_IDRMember,"Bank Negara Indonesia (Persero) Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_AUDMember,"Bank Negara Indonesia (Persero) Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_AUDMember,"Bank Negara Indonesia (Persero) Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_CADMember,"Bank Negara Indonesia (Persero) Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_CADMember,"Bank Negara Indonesia (Persero) Tbk - CAD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_CNYMember,"Bank Negara Indonesia (Persero) Tbk - CNY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_CNYMember,"Bank Negara Indonesia (Persero) Tbk - CNY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_EURMember,"Bank Negara Indonesia (Persero) Tbk - EUR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_EURMember,"Bank Negara Indonesia (Persero) Tbk - EUR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_HKDMember,"Bank Negara Indonesia (Persero) Tbk - HKD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_HKDMember,"Bank Negara Indonesia (Persero) Tbk - HKD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_GBPMember,"Bank Negara Indonesia (Persero) Tbk - GBP - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_GBPMember,"Bank Negara Indonesia (Persero) Tbk - GBP - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_JPYMember,"Bank Negara Indonesia (Persero) Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_JPYMember,"Bank Negara Indonesia (Persero) Tbk - JPY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_SGDMember,"Bank Negara Indonesia (Persero) Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_SGDMember,"Bank Negara Indonesia (Persero) Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_THBMember,"Bank Negara Indonesia (Persero) Tbk - THB - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_THBMember,"Bank Negara Indonesia (Persero) Tbk - THB - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_USDMember,"Bank Negara Indonesia (Persero) Tbk - USD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_USDMember,"Bank Negara Indonesia (Persero) Tbk - USD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankNegaraIndonesiaPerseroTbkMember_OtherCurrencyMember,"Bank Negara Indonesia (Persero) Tbk - Mata uang lainnya - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember_OtherCurrencyMember,"Bank Negara Indonesia (Persero) Tbk - Mata uang lainnya - Jumlah utang bank, kotor"
TotalBankLoanGross_BankNegaraIndonesiaPerseroTbkMember,"Bank Negara Indonesia (Persero) Tbk - Total - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_IDRMember,"Bank Jago Tbk - IDR - Utang bank, nilai dalam mata uang asing"
